hilary_of_poitiers.liber_ad_constantium_imperatorem,urn:cts:latinLit:stoa0149b.stoa005,,,
hilary_of_poitiers.oratio_synodi_sardicensis_ad_constantium_imperatorem,urn:cts:latinLit:stoa0149b.stoa007,,,
hilary_of_poitiers.tractatus_mysteriorum,urn:cts:latinLit:stoa0149b.stoa009,,,
hilary_of_poitiers.tractatus_super_psalmos,urn:cts:latinLit:stoa0149b.stoa001,,,
hilary_of_poitiers_pseudo.ad_leonem_papam,urn:cts:latinLit:stoa0149p.stoa003,,,
hilary_of_poitiers_pseudo.de_evangelico,urn:cts:latinLit:stoa0149p.stoa001,,,
hilary_of_poitiers_pseudo.de_martyrio_maccabeorum,urn:cts:latinLit:stoa0149p.stoa002,,,
hilary_of_poitiers_pseudo.epistula_ad_abram_filiam,urn:cts:latinLit:stoa0149b.stoa008,,,
hilary_of_poitiers_pseudo.hymni,urn:cts:latinLit:stoa0149b.stoa008,,,
horace.ars_poetica,urn:cts:latinLit:phi0893.phi006,,,
horace.carmen_saeculare,urn:cts:latinLit:phi0893.phi002,,,
horace.epistles,urn:cts:latinLit:phi0893.phi005,,,
horace.epodes,urn:cts:latinLit:phi0893.phi003,,,
horace.odes,urn:cts:latinLit:phi0893.phi001,,,
horace.satires,urn:cts:latinLit:phi0893.phi004,,,
italicus.ilias_latina,urn:cts:latinLit:phi0890.phi001,,,
iulius_firmicus_maternus.liber_de_errore_profanorum_religionum,urn:cts:latinLit:stoa0123a.stoa001,,,
jerome.epistulae,urn:cts:latinLit:stoa0162.stoa004,,,
jerome.in_hieremiam_prophetam,urn:cts:latinLit:stoa0162.stoa024,,,
jerome.vulgate,,,,e.g. urn:cts:greekLit:tlg0527.tlg013.perseus-lat1 for 1st Kings
john_cassian.conlationes,urn:cts:latinLit:stoa0076c.stoa001,,,
john_cassian.de_incarnatione,urn:cts:latinLit:stoa0076c.stoa003,,,
john_cassian.institutiones,urn:cts:latinLit:stoa0076c.stoa002,,,
juvenal.satires,urn:cts:latinLit:phi1276.phi001,,,
juvencus.historia_evangelica,urn:cts:latinLit:stoa0169a.stoa002,,,
lactantius.carmen_de_passione_domini,urn:cts:latinLit:stoa0171.stoa004,,,
lactantius.de_ave_phoenice,urn:cts:latinLit:stoa0171.stoa001,,,
lactantius.de_ira_dei,urn:cts:latinLit:stoa0171.stoa006,,,
lactantius.de_mortibus_persecutorum,urn:cts:latinLit:stoa0171.stoa002,,,
lactantius.de_opificio_dei,urn:cts:latinLit:stoa0171.stoa007,,,
lactantius.divinarum_institutionum,urn:cts:latinLit:stoa0171.stoa009,,,
lactantius.epitome_divinarum_institutionum,urn:cts:latinLit:stoa0171.stoa008,,,
lactantius_placidus.in_statii_thebaida_commentum,,,,DigilibLT
livy.ab_urbe_condita,urn:cts:latinLit:phi0914.phi001,,,
lucan.bellum_civile,urn:cts:latinLit:phi0917.phi001,,,
lucretius.de_rerum_natura,urn:cts:latinLit:phi0550.phi001,,,
macrobius.in_somnium_Scipionis_commentarii,urn:cts:latinLit:stoa0186.stoa002,,,
macrobius.saturnalia,urn:cts:latinLit:stoa0186.stoa001,,,
manilius.astronomicon,urn:cts:latinLit:phi0926.phi001,,,
marcus_mincuius_felix.octavius,urn:cts:latinLit:stoa0203.stoa001,,,
martial.epigrams,urn:cts:latinLit:phi1294.phi002,,,
maximianus.elegiae,urn:cts:latinLit:stoa0196.stoa001,,,
nepos.vitae,urn:cts:latinLit:phi0588.phi001,,,
optatian.epistula,,,,DigilibLT
orosius.apologeticus,urn:cts:latinLit:stoa0215c.stoa002,,,
orosius.commonitorium_de_errore_priscillianistarum_et_origenistarum,urn:cts:latinLit:stoa0215c.stoa003,,,
orosius.historiae_adversum_paganos,urn:cts:latinLit:stoa0215c.stoa001,,,
ovid.amores,urn:cts:latinLit:phi0959.phi001,,,
ovid.ars_amatoria,urn:cts:latinLit:phi0959.phi004,,,
ovid.ex_ponto,urn:cts:latinLit:phi0959.phi009,,,
ovid.fasti,urn:cts:latinLit:phi0959.phi007,,,
ovid.heroides,urn:cts:latinLit:phi0959.phi002,,,
ovid.ibis,urn:cts:latinLit:phi0959.phi010,,,
ovid.medicamina_faciei_femineae,urn:cts:latinLit:phi0959.phi003,,,
ovid.metamorphoses,urn:cts:latinLit:phi0959.phi006,,,
ovid.remedia_amoris,urn:cts:latinLit:phi0959.phi005,,,
ovid.tristia,urn:cts:latinLit:phi0959.phi008,,,
paulinus_of_nola.carmina,urn:cts:latinLit:stoa0223.stoa001,,,
paulinus_of_nola.epistulae,urn:cts:latinLit:stoa0223.stoa002,,,
paulus_diaconus.carmina,urn:cts:latinLit:stoa0224.stoa001,,,
persius.satires,urn:cts:latinLit:phi0969.phi001,,,
petronius.satyricon,urn:cts:latinLit:phi0972.phi001,,,
plautus.amphitruo,urn:cts:latinLit:phi0119.phi001,,,
plautus.asinaria,urn:cts:latinLit:phi0119.phi002,,,
plautus.aulularia,urn:cts:latinLit:phi0119.phi003,,,
plautus.bacchides,urn:cts:latinLit:phi0119.phi004,,,
plautus.captivi,urn:cts:latinLit:phi0119.phi005,,,
plautus.casina,urn:cts:latinLit:phi0119.phi006,,,
plautus.cistellaria,urn:cts:latinLit:phi0119.phi007,,,
plautus.curculio,urn:cts:latinLit:phi0119.phi008,,,
plautus.epidicus,urn:cts:latinLit:phi0119.phi009,,,
plautus.menaechmi,urn:cts:latinLit:phi0119.phi010,,,
plautus.mercator,urn:cts:latinLit:phi0119.phi011,,,
plautus.miles_gloriosus,urn:cts:latinLit:phi0119.phi012,,,
plautus.mostellaria,urn:cts:latinLit:phi0119.phi013,,,
plautus.persa,urn:cts:latinLit:phi0119.phi014,,,
plautus.poenulus,urn:cts:latinLit:phi0119.phi015,,,
plautus.pseudolus,urn:cts:latinLit:phi0119.phi016,,,
plautus.rudens,urn:cts:latinLit:phi0119.phi017,,,
plautus.stichus,urn:cts:latinLit:phi0119.phi018,,,
plautus.trinummus,urn:cts:latinLit:phi0119.phi019,,,
plautus.truculentus,urn:cts:latinLit:phi0119.phi020,,,
pliny_the_elder.naturalis_historia,urn:cts:latinLit:phi0978.phi001,,,
pliny_the_younger.letters,urn:cts:latinLit:phi1318.phi001,,,
polignac.antilucretius,,,,
polignac.epia,,,,
polignac.imitatio,,,,
